Accuracy,MacroF1,TPR_gap,DP_gap,Welfare,seed,lambda_norm
0.7266666666666667,0.48280211924985283,0.014954954954955024,0.0007207207207207134,-41000109.0,0,0.0
0.7333333333333333,0.48647723382403285,0.0039639639639640345,0.0061261261261260636,-40000110.0,0,0.3
0.74,0.49019607843137253,0.007027027027026955,0.012972972972973063,-39000111.0,0,0.6
0.74,0.4706361415256538,0.0019819819819819617,0.01315315315315313,-39000111.0,0,1.0
0.7333333333333333,0.44629014396456257,0.0019819819819819617,0.006486486486486531,-40000110.0,0,1.5
0.7333333333333333,0.44629014396456257,0.0019819819819819617,0.006486486486486531,-40000110.0,0,2.0
0.76,0.5205965909090909,0.017857142857142905,0.041081081081080995,-36000114.0,1,0.0
0.7666666666666667,0.5249298705999457,0.008928571428571508,0.03423423423423422,-35000115.0,1,0.3
0.7666666666666667,0.5249298705999457,0.008928571428571508,0.03423423423423422,-35000115.0,1,0.6
0.76,0.5016611295681063,0.008928571428571508,0.02738738738738744,-36000114.0,1,1.0
0.76,0.4807692307692308,0.0,0.013693693693693665,-36000114.0,1,1.5
0.76,0.4807692307692308,0.0,0.013693693693693665,-36000114.0,1,2.0
0.7333333333333333,0.46732954545454547,0.005750431282346091,0.004761904761904745,-40000110.0,2,0.0
0.7333333333333333,0.46732954545454547,0.005750431282346091,0.004761904761904745,-40000110.0,2,0.3
0.74,0.4706361415256538,0.018018018018018056,0.012380952380952381,-39000111.0,2,0.6
0.74,0.4706361415256538,0.018018018018018056,0.012380952380952381,-39000111.0,2,1.0
0.7466666666666667,0.4739756367663344,0.009009009009009028,0.005714285714285783,-38000112.0,2,1.5
0.7466666666666667,0.4739756367663344,0.009009009009009028,0.005714285714285783,-38000112.0,2,2.0
0.7333333333333333,0.48647723382403285,0.03803803803803807,0.03784037558685449,-40000110.0,3,0.0
0.7466666666666667,0.4939630681818182,0.019019019019019034,0.023004694835680795,-38000112.0,3,0.3
0.7466666666666667,0.4739756367663344,0.009509509509509462,0.0222535211267606,-38000112.0,3,0.6
0.7466666666666667,0.4739756367663344,0.009509509509509462,0.0222535211267606,-38000112.0,3,1.0
0.7466666666666667,0.4739756367663344,0.009509509509509462,0.0222535211267606,-38000112.0,3,1.5
0.7533333333333333,0.4773519163763066,0.0,0.014835680751173697,-37000113.0,3,2.0
0.7466666666666667,0.5121533721328313,0.007027027027026955,0.005570776255707677,-38000112.0,4,0.0
0.76,0.5205965909090909,0.01099099099099099,0.01963470319634697,-36000114.0,4,0.3
0.7533333333333333,0.49778300606279974,0.01099099099099099,0.01296803652968026,-37000113.0,4,0.6
0.7466666666666667,0.4739756367663344,0.01099099099099099,0.020000000000000018,-38000112.0,4,1.0
0.74,0.44910066861286374,0.01099099099099099,0.013333333333333308,-39000111.0,4,1.5
0.74,0.44910066861286374,0.01099099099099099,0.013333333333333308,-39000111.0,4,2.0
0.7466666666666667,0.4739756367663344,0.017857142857142905,0.011960784313725492,-38000112.0,5,0.0
0.74,0.44910066861286374,0.017857142857142905,0.0052941176470588935,-39000111.0,5,0.3
0.74,0.44910066861286374,0.017857142857142905,0.0052941176470588935,-39000111.0,5,0.6
0.7466666666666667,0.4519230769230769,0.008928571428571397,0.001372549019607816,-38000112.0,5,1.0
0.7533333333333333,0.4547597995873858,0.0,0.008039215686274415,-37000113.0,5,1.5
0.7533333333333333,0.4547597995873858,0.0,0.008039215686274415,-37000113.0,5,2.0
0.7533333333333333,0.49778300606279974,0.009009009009009028,0.0007305936073059849,-37000113.0,6,0.0
0.7533333333333333,0.49778300606279974,0.009009009009009028,0.0007305936073059849,-37000113.0,6,0.3
0.7533333333333333,0.49778300606279974,0.009009009009009028,0.0007305936073059849,-37000113.0,6,0.6
0.7533333333333333,0.49778300606279974,0.009009009009009028,0.0007305936073059849,-37000113.0,6,1.0
0.76,0.5016611295681063,0.0,0.0073972602739725835,-36000114.0,6,1.5
0.76,0.5016611295681063,0.0,0.0073972602739725835,-36000114.0,6,2.0
0.7066666666666667,0.45436507936507936,0.06064690026954178,0.030555555555555558,-44000106.0,7,0.0
0.7266666666666667,0.46405228758169936,0.04969676549865232,0.022777777777777786,-41000109.0,7,0.3
0.7266666666666667,0.42084942084942084,0.029818059299191346,0.021666666666666612,-41000109.0,7,0.6
0.7333333333333333,0.4230769230769231,0.01987870619946086,0.014444444444444482,-40000110.0,7,1.0
0.74,0.42528735632183906,0.009939353099730486,0.00722222222222213,-39000111.0,7,1.5
0.74,0.42528735632183906,0.009939353099730486,0.00722222222222213,-39000111.0,7,2.0
0.74,0.49019607843137253,0.024285714285714355,0.03784037558685449,-39000111.0,8,0.0
0.7466666666666667,0.4939630681818182,0.03321428571428575,0.04450704225352109,-38000112.0,8,0.3
0.7533333333333333,0.49778300606279974,0.02214285714285713,0.0370892018779343,-37000113.0,8,0.6
0.7466666666666667,0.4739756367663344,0.02214285714285713,0.029671361502347504,-38000112.0,8,1.0
0.7466666666666667,0.4519230769230769,0.011071428571428621,0.014835680751173697,-38000112.0,8,1.5
0.7466666666666667,0.4519230769230769,0.011071428571428621,0.014835680751173697,-38000112.0,8,2.0
0.7333333333333333,0.48647723382403285,0.03803803803803807,0.05192488262910799,-40000110.0,9,0.0
0.7266666666666667,0.46405228758169936,0.03803803803803807,0.04450704225352109,-41000109.0,9,0.3
0.7266666666666667,0.4434892769885078,0.028528528528528607,0.029671361502347504,-41000109.0,9,0.6
0.7266666666666667,0.42084942084942084,0.019019019019019034,0.014835680751173697,-41000109.0,9,1.0
0.7333333333333333,0.4230769230769231,0.009509509509509462,0.007417840375586793,-40000110.0,9,1.5
0.7333333333333333,0.4230769230769231,0.009509509509509462,0.007417840375586793,-40000110.0,9,2.0
